Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
12.02.2021;47.389,00;47.966,00;48.540,00;47.072,00;10,79K;-1,20%
12.03.2021;57.315,00;57.869,00;57.869,00;55.946,00;9,56K;-0,96%
12.04.2021;59.900,00;60.034,80;60.701,00;59.747,00;5,50K;-0,22%
12.05.2021;49.725,00;56.715,00;57.688,00;49.725,00;14,96K;-12,32%
12.07.2021;33.090,00;34.239,00;34.624,00;32.616,00;8,41K;-3,36%
12.08.2021;44.423,00;45.546,00;46.185,00;43.789,00;5,64K;-2,47%
12.10.2021;55.967,00;57.468,00;57.633,00;54.000,00;5,94K;-2,61%
12.11.2021;64.156,00;64.801,00;65.412,00;62.310,00;5,12K;-1,00%
13.01.2021;37.375,00;34.106,00;37.418,00;33.160,00;14,89K;9,59%
13.01.2022;42.562,00;43.909,00;44.426,70;42.334,00;3,74K;-3,07%
13.04.2021;63.518,00;59.900,00;63.518,00;59.900,00;11,26K;6,04%
13.05.2021;49.747,00;49.725,00;51.154,00;48.120,60;21,16K;0,04%
13.07.2021;32.727,00;33.090,00;33.333,00;32.210,00;4,02K;-1,10%
13.08.2021;47.842,00;44.423,00;47.866,00;44.276,00;7,39K;7,70%
13.09.2021;44.960,00;46.069,00;46.823,00;43.514,00;8,77K;-2,41%
13.10.2021;57.381,00;55.967,00;57.758,00;54.310,00;3,09K;2,53%
13.12.2021;46.777,00;50.123,00;50.222,70;45.790,00;8,71K;-6,68%
14.01.2021;39.170,00;37.374,00;39.750,00;37.193,00;12,97K;4,80%
14.01.2022;43.091,00;42.562,00;43.463,00;41.839,00;4,31K;1,24%
14.02.2021;48.587,00;47.177,00;49.279,00;47.177,00;7,34K;2,99%
14.02.2022;42.559,90;42.091,00;42.852,00;41.608,00;4,78K;1,11%
14.03.2022;39.717,00;37.777,10;39.977,00;37.570,00;8,05K;5,14%
14.04.2021;62.942,70;63.518,00;64.374,00;62.065,00;10,93K;-0,91%
14.05.2021;49.917,00;49.747,00;51.168,00;49.289,00;6,05K;0,34%
14.06.2021;40.500,00;39.004,00;40.732,00;38.812,00;9,73K;3,84%
14.07.2021;32.822,60;32.727,00;33.117,00;31.596,00;5,19K;0,29%
14.09.2021;47.078,00;44.960,00;47.235,00;44.726,00;3,52K;4,71%
14.10.2021;57.354,00;57.381,00;58.473,00;56.880,00;4,59K;-0,05%
14.12.2021;48.408,00;46.777,00;48.656,00;46.356,20;5,48K;3,49%
15.01.2021;36.741,00;39.145,00;39.476,00;35.268,00;15,55K;-6,20%
15.02.2021;47.941,00;48.587,00;48.694,00;46.563,00;9,88K;-1,33%
15.02.2022;44.559,90;42.559,90;44.762,00;42.467,00;4,11K;4,70%
15.03.2021;55.644,00;59.005,00;60.141,10;55.644,00;14,78K;-5,70%
15.03.2022;39.317,00;39.717,90;39.886,90;38.212,00;5,30K;-1,01%
15.04.2021;63.196,00;62.907,00;63.475,00;62.348,00;6,61K;0,40%
15.06.2021;40.139,00;40.509,00;40.708,80;39.726,00;7,78K;-0,89%
15.07.2021;31.857,00;32.822,60;33.194,00;31.170,00;6,96K;-2,94%
15.09.2021;48.136,00;47.078,00;48.440,00;46.738,00;3,98K;2,25%
15.10.2021;61.709,00;57.354,00;62.897,00;56.889,00;11,88K;7,59%
15.11.2021;63.562,00;65.471,00;66.320,00;63.383,30;5,27K;-2,92%
15.12.2021;48.901,00;48.408,00;49.520,00;46.602,00;7,04K;1,02%
16.01.2022;43.084,00;43.069,00;43.487,00;42.611,80;1,58K;0,03%
16.02.2021;49.225,00;47.941,00;49.533,50;47.643,00;13,04K;2,68%
16.02.2022;43.885,00;44.559,90;44.584,00;43.382,00;3,27K;-1,51%
16.03.2021;56.924,00;55.644,00;56.924,00;54.049,00;10,49K;2,30%
16.03.2022;41.148,00;39.316,60;41.728,00;38.974,00;8,54K;4,66%
16.04.2021;61.325,00;63.196,00;63.453,00;60.286,00;11,54K;-2,96%
16.06.2021;38.332,00;40.139,00;40.394,00;38.332,00;6,79K;-4,50%
16.07.2021;31.429,00;31.875,00;32.266,00;31.055,00;5,38K;-1,34%
16.08.2021;45.940,00;47.031,00;48.059,00;45.689,00;6,06K;-2,32%
16.09.2021;47.786,00;48.136,00;48.518,00;47.080,00;3,61K;-0,73%
16.11.2021;60.124,00;63.562,00;63.562,00;58.708,00;13,07K;-5,41%
16.12.2021;47.675,00;48.901,00;49.462,10;47.561,00;3,53K;-2,51%
17.01.2021;35.903,00;36.061,00;36.570,00;33.914,00;9,85K;-0,42%
17.01.2022;42.242,00;43.084,00;43.191,00;41.568,00;2,92K;-1,95%
17.02.2021;52.060,00;49.225,00;52.284,00;49.225,00;9,21K;5,76%
